original_index,original_class,success,boundary_x1,boundary_x2,distance,method,neutrality,proximity_l2,flip_correct
184,0.0,False,-4.733286,1.6749101,0.7071145,fgsm,,,False
185,1.0,False,4.1953487,0.8450024,0.7071145,fgsm,,,False
186,1.0,False,2.7250226,3.203228,0.7071061,fgsm,,,False
187,0.0,False,-1.5779715,1.6592221,0.7071061,fgsm,,,False
188,0.0,False,-3.106735,2.3180456,0.7071061,fgsm,,,False
189,0.0,False,-2.9703777,1.1457652,0.7071062,fgsm,,,False
190,1.0,False,2.897243,2.006151,0.7071061,fgsm,,,False
191,0.0,False,-4.231846,-0.6833806,0.7071145,fgsm,,,False
192,1.0,False,3.9893527,3.5491838,0.7071149,fgsm,,,False
193,0.0,False,-3.761168,0.07403067,0.70711076,fgsm,,,False
194,0.0,False,-2.3887281,-1.991102,0.7071061,fgsm,,,False
195,1.0,False,3.1197875,1.6057355,0.7071061,fgsm,,,False
196,1.0,False,4.916942,2.147988,0.7071145,fgsm,,,False
197,1.0,False,1.2982659,0.6827841,0.7071061,fgsm,,,False
198,0.0,False,-1.1139517,1.1734617,0.7071061,fgsm,,,False
199,1.0,False,2.6665213,2.8854182,0.7071061,fgsm,,,False
200,1.0,False,3.0248237,1.7725945,0.7071061,fgsm,,,False
201,0.0,False,-4.611518,-1.1012034,0.7071145,fgsm,,,False
202,1.0,False,4.5909867,1.6260908,0.7071145,fgsm,,,False
203,1.0,False,1.6507828,3.5472817,0.70710677,fgsm,,,False
204,1.0,False,1.5520089,2.2880158,0.7071061,fgsm,,,False
205,1.0,False,3.3511302,3.252133,0.7071061,fgsm,,,False
206,1.0,False,3.7558234,2.292588,0.70711035,fgsm,,,False
207,1.0,False,2.667748,2.199851,0.7071061,fgsm,,,False
208,0.0,False,-2.33939,0.5891634,0.70710623,fgsm,,,False
209,0.0,False,-4.1220365,-0.7238432,0.7071145,fgsm,,,False
210,1.0,False,4.1895514,1.1411699,0.7071145,fgsm,,,False
211,0.0,False,-2.4332435,-1.0970798,0.7071061,fgsm,,,False
212,0.0,False,-3.487886,1.1117204,0.7071061,fgsm,,,False
213,0.0,False,-2.892828,1.2014422,0.7071062,fgsm,,,False
214,1.0,False,2.1206794,2.7344725,0.7071061,fgsm,,,False
215,0.0,False,-2.9874694,0.025069159,0.7071063,fgsm,,,False
216,1.0,False,1.6059306,2.723729,0.7071061,fgsm,,,False
217,1.0,False,2.6496115,1.1326114,0.7071061,fgsm,,,False
218,1.0,False,5.053603,0.57397723,0.7071145,fgsm,,,False
219,0.0,False,-3.0582547,-0.7293054,0.7071061,fgsm,,,False
220,0.0,False,-4.947108,2.2186656,0.70711464,fgsm,,,False
221,0.0,False,-3.9065828,-1.4122101,0.70711285,fgsm,,,False
222,0.0,False,-1.2849437,0.85068095,0.7071061,fgsm,,,False
223,0.0,False,-2.2488925,0.15765662,0.7071064,fgsm,,,False
224,1.0,False,4.232057,3.5351198,0.70711505,fgsm,,,False
225,1.0,False,2.2196734,1.9316375,0.7071061,fgsm,,,False
226,1.0,False,5.4174056,2.1059575,0.7071145,fgsm,,,False
227,0.0,False,-2.289376,0.53905934,0.7071063,fgsm,,,False
228,0.0,False,-4.03151,1.4656303,0.7071145,fgsm,,,False
229,0.0,False,-3.0874104,0.34258822,0.7071064,fgsm,,,False
230,1.0,False,3.5847669,0.6858455,0.7071075,fgsm,,,False
231,0.0,False,-1.2135165,-0.07048221,0.7071063,fgsm,,,False
